"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T"
30,"SC",125229,"SC","COUNTY OF ORANGE/SHERIFF/800 MH7 COMM","31870  PACIFIC COAST HWY","LAGUNA BEACH","92651",5812,"ORA","SOUTH COAST AQMD","","",.000000581078007732544916988856038207869001592,.000000511,.000000511,.000000511,.000000511,.000000511,.000000507934
30,"SC",125230,"SC","COUNTY OF ORANGE/SHERIFF/800 MHZ COMM","285  AGATE ST","LAGUNA BEACH","92651",9224,"ORA","SOUTH COAST AQMD","","",.000000581078007732544916988856038207869001592,.000000511,.000000511,.000000511,.000000511,.000000511,.000000507934
33,"SC",112072,"SC","COUNTY OF RIVERSIDE","4065  COUNTY CIRCLE DR","RIVERSIDE","92503",9431,"RIV","SOUTH COAST AQMD","","",.003406868319308619513304525813054355242211,.002996,.00815,.03607,.00001682,.002674,.002657956
33,"SC",136546,"SC","COUNTY OF RIVERSIDE","4060  COUNTY CIRCLE DR","RIVERSIDE","92503",9441,"RIV","SOUTH COAST AQMD","","",.006834205139868091880827837161701159881738,.00601,.01,.07,.0000336,.00537,.00533778
33,"SC",62467,"SC","COUNTY OF RIVERSIDE  (RV0919)","9990  COUNTY FARM RD","RIVERSIDE","92503",9431,"RIV","SOUTH COAST AQMD","","",.003559244939731635205822151466909256311121,.00313,.00852,.03,.0000175,.0028,.0027832
33,"SC",174138,"SC","COUNTY OF RIVERSIDE ( JV5909)","7477  MISSION BLVD","RIVERSIDE","92509",9221,"RIV","SOUTH COAST AQMD","","",.001132590402547191266772799636115533318171,.000996,.00271,.01,.00000558,.000889,.000883666
33,"SC",183257,"SC","COUNTY OF RIVERSIDE (AMC YTEC)","10000  COUNTY FARM RD","RIVERSIDE","92503",9223,"RIV","SOUTH COAST AQMD","","",.0227427791676142824653172617693882192404,.02,.06,.29,.0001354,.02,.01988
33,"SS",175443,"SC","COUNTY OF RIVERSIDE (IN0710)","82695  DOCTOR CARREON BLVD","INDIO","92201",9221,"RIV","SOUTH COAST AQMD","","",.007778030475324084603138503525130770980214,.00684,.01,.08,.0000383,.00611,.00607334
33,"SS",79460,"SC","COUNTY OF RIVERSIDE (IN701)","82675  HIGHWAY 111","INDIO","92201",9211,"RIV","SOUTH COAST AQMD","","",.062409287324001902123348564103624371989,.03491,.51,.76,.0036234,.04332,.04324008
33,"SS",140613,"SC","COUNTY OF RIVERSIDE (IN728)","47225  OASIS ST","INDIO","92201",9221,"RIV","SOUTH COAST AQMD","","",.0023083920855128496702297020695929042529,.00203,.00551,.02,.0000113,.00181,.00179914
33,"SS",136362,"SC","COUNTY OF RIVERSIDE (IN735)","44199  MONROE ST","INDIO","92201",9441,"RIV","SOUTH COAST AQMD","","",.003581987718899249488287468728678644530362,.00315,.00857,.03,.0000176,.00281,.00279314
33,"SC",87824,"SC","COUNTY OF RIVERSIDE (JV5908)","1500  CASTELLANO RD","RUBIDOUX","92509",9221,"RIV","SOUTH COAST AQMD","","",.009108483056629520127359563338639981805777,.00801,.02,.1,.0000448,.00715,.0071071
33,"SS",75528,"SC","COUNTY OF RIVERSIDE (PD2202)","73520  FRED WARING DR","PALM DESERT","92260",9221,"RIV","SOUTH COAST AQMD","","",.00755060268364794177848533090743688878781,.00664,.01,.08,.0000372,.00593,.00589442
33,"SS",61470,"SC","COUNTY OF RIVERSIDE (PG1101)","3255  TAHQUITZ WAY","PALM SPRINGS","92262",9211,"RIV","SOUTH COAST AQMD","","",.0113713895838071412326586308846941096202,.01,.03,.16,.0000736,.01,.00994
33,"SC",179747,"SC","COUNTY OF RIVERSIDE (PR808)","800 S REDLANDS AVE","PERRIS","92570",9431,"RIV","SOUTH COAST AQMD","","",.005310438935637934955651580623152149192631,.00467,.01,.05,.0000261,.00417,.00414498
33,"SC",87825,"SC","COUNTY OF RIVERSIDE (RV0901)","4050  MAIN ST","RIVERSIDE","92501",9211,"RIV","SOUTH COAST AQMD","","",.005117125312713213554696383898112349329088,.0045,.01,.05,.0000252,.00402,.00399588
33,"SC",75657,"SC","COUNTY OF RIVERSIDE (RV0904)","4095  LEMON ST","RIVERSIDE","92501",9199,"RIV","SOUTH COAST AQMD","","",.002660905162610871048442119627018421651126,.00234,.00638,.02,.0000131,.00209,.00207746
33,"SC",75621,"SC","COUNTY OF RIVERSIDE (RV0908)","7195  ALESSANDRO BLVD","RIVERSIDE","92506",9221,"RIV","SOUTH COAST AQMD","","",.0200932453945872185581078007732544916989,.01767,.05,.23,.0001098,.01685,.0167489
33,"SC",57202,"SC","COUNTY OF RIVERSIDE (RV0914)","4000  ORANGE ST","RIVERSIDE","92501",9221,"RIV","SOUTH COAST AQMD","","",.0201955879008414828292017284512167386854,.01776,.04,.21,.0000994,.01587,.01577478
33,"SC",193624,"SC","COUNTY OF RIVERSIDE (RV0931)","10001  COUNTY FARM RD","RIVERSIDE","92503",8641,"RIV","SOUTH COAST AQMD","","",.001330452581305435524221059813509210825563,.00117,.00319,.01,.00000656,.00105,.0010437
33,"SC",183429,"SC","COUNTY OF RIVERSIDE (RV0996)","4075  MAIN ST","RIVERSIDE","92522",9224,"RIV","SOUTH COAST AQMD","","",.003684330225153513759381396406640891516943,.00324,.00882,.04,.0000182,.0029,.0028826
33,"SC",174328,"SC","COUNTY OF RIVERSIDE (RV1016)","6221  BOX SPRINGS RD","RIVERSIDE","92507",9111,"RIV","SOUTH COAST AQMD","","",.00070388901523766204230156925176256538549,.000619,.00168,.00774,.00000347,.000553,.000549682
33,"SC",165294,"SC","COUNTY OF RIVERSIDE (RV1058)","3960  ORANGE ST","RIVERSIDE","92501",9222,"RIV","SOUTH COAST AQMD","","",.00927905390038662724584944280191039345008,.00816,.02,.1,.0000457,.00729,.00724626
33,"SC",184876,"SC","COUNTY OF RIVERSIDE (RV1074)","3075  MYERS ST","RIVERSIDE","92503",5812,"RIV","SOUTH COAST AQMD","","",.00462815556060950648169206277007050261542,.00407,.01,.05,.0000228,.00363,.00360822
33,"SS",161403,"SC","COUNTY OF RIVERSIDE (TR5307)","86-625  AIRPORT BLVD","THERMAL","92274",9221,"RIV","SOUTH COAST AQMD","","",.0856060950648169206277007050261541960428,.08493,.01,.06,.0000276,.00441,.00438354
33,"SC",193271,"SC","COUNTY OF RIVERSIDE, EOC","450 E ALESSANDRO BLVD","RIVERSIDE","92508",9229,"RIV","SOUTH COAST AQMD","","",.003627473277234478053218103252217420968842,.00319,.00867,.03,.0000179,.00285,.0028329
36,"SC",139747,"SC","COUNTY OF SAN BERNARDINO","32950  CRAB FLATS RD","GREEN VALLEY LAKE","92341",9532,"SBD","SOUTH COAST AQMD","","",.00000268364794177848533090743688878780987037,.00000236,.00000643,.0000295,.0000000132,.00000211,.00000209734
36,"SC",152362,"SC","COUNTY OF SAN BERNARDINO","175 S LENA RD","SAN BERNARDINO","92415",9199,"SBD","SOUTH COAST AQMD","","",.000362747327723447805321810325221742096884,.000319,.000867,.00399,.00000179,.000285,.00028329
36,"SC",191826,"SC","COUNTY OF SAN BERNARDINO - FOOTHILL WECA","7878  ALMOND ST","UPLAND","91784",8211,"SBD","SOUTH COAST AQMD","","",.000372981578348874232431203093017966795542,.000328,.000893,.0041,.00000184,.000293,.000291242
36,"SC",179665,"SC","COUNTY OF SAN BERNARDINO / CSA79-AHWAHNE","1445  GREEN VALLEY LAKE RD","GREEN VALLEY LAKE","92341",9224,"SBD","SOUTH COAST AQMD","","",.00000292244712303843529679326813736638617239,.00000257,.00000699,.0000321,.0000000144,.00000229,.00000227626
36,"SC",179666,"SC","COUNTY OF SAN BERNARDINO / CSA79-CANYON","32985  CANYON RD","GREEN VALLEY LAKE","92341",9224,"SBD","SOUTH COAST AQMD","","",.00000287696156470320673186263361382760973391,.00000253,.00000689,.0000317,.0000000142,.00000226,.00000224644
36,"SC",148067,"SC","COUNTY OF SAN BERNARDINO, FAC MGMT","303 W 3RD ST","SAN BERNARDINO","92415",9222,"SBD","SOUTH COAST AQMD","","",.000224471230384352967932681373663861723902,.0001974,.000536,.00247,.000001103,.0001764,.0001753416
36,"SC",33093,"SC","COUNTY OF SAN BERNARDINO, VEH SERVS DEPT","16700 S EUCLID AVE","CHINO","91710",9111,"SBD","SOUTH COAST AQMD","","",.00911821469183534227882647259495110302479,.00863,.00969,.04,.00002,.00318,.00316092
19,"SC",135445,"SC","COUNTY SANITATION DISTRICTS OF  L A CTY","2200  SPRING ST","SIGNAL HILL","90806",4959,"LA","SOUTH COAST AQMD","","",.000148965203547873550147828064589492836025,.000131,.000357,.00164,.000000735,.000117,.000116298
19,"SC",177793,"SC","COUNTY SANITATION DISTRICTS OF LA COUNTY","2394 S SAN ANTONIO AVE","POMONA","91766",4959,"LA","SOUTH COAST AQMD","","",.002191192266380236305048335123523093447905,.000204,.000549,.00707,.00000102,.000017,.000016898
19,"SC",149417,"SC","COURTYARD BY MARRIOTT BALDWIN PARK","14635  BALDWIN PARK TOWNE CTR","BALDWIN PARK","91706",7011,"LA","SOUTH COAST AQMD","","",.003593359108483056629520127359563338639982,.00316,.00856,.02,.00001764,.00282,.00280308
19,"SC",190003,"SC","COVI CONCRETE CONSTRUCTION INC","VARIOUS LOCATIONS IN SCAQMD","DUARTE","91010",1771,"LA","SOUTH COAST AQMD","","",.005333181714805549238116897884921537411872,.00469,.01,.05,.0000263,.00419,.00416486
30,"SC",167599,"SC","COVIDIEN","9775  TOLEDO WAY","IRVINE","92618",3841,"ORA","SOUTH COAST AQMD","","",11.88996139960734092523504230486223518951,6.204911113,,,,.0001639193,.000111026398
